ECouponId,ECouponTypeDef,ECouponStartDateTime,ECouponEndDateTime,ECouponUsingStartDateTime,ECouponUsingEndDateTime,ECouponDiscountPrice,ECouponMaxDiscountLimit
3046,DrawOut,2015-05-16 00:00:00,2015-05-17 23:59:00,2015-05-16 00:00:00,2015-05-17 23:59:00,50.0,0.3
3086,OpenCard,2015-05-20 15:00:00,2015-06-03 23:59:00,2015-05-20 15:00:00,2015-06-03 23:59:00,50.0,0.3
3111,DrawOut,2015-05-23 00:00:00,2015-05-24 23:59:00,2015-05-23 00:00:00,2015-05-24 23:59:00,50.0,0.3
3225,DrawOut,2015-05-30 00:00:00,2015-05-31 23:59:00,2015-05-30 00:00:00,2015-05-31 23:59:00,50.0,0.3
3280,OpenCard,2015-06-04 00:00:00,2015-06-17 00:00:00,2015-06-04 00:00:00,2015-06-17 00:00:00,50.0,0.3
3345,DrawOut,2015-06-06 00:00:00,2015-06-07 23:59:00,2015-06-06 00:00:00,2015-06-07 23:59:00,50.0,0.3
3444,DrawOut,2015-06-13 00:00:00,2015-06-14 23:59:00,2015-06-13 00:00:00,2015-06-14 23:59:00,50.0,0.3
3613,OpenCard,2015-06-19 12:00:00,2015-06-30 23:59:00,2015-06-19 12:00:00,2015-06-30 23:59:00,50.0,0.3
3614,DrawOut,2015-06-19 12:00:00,2015-06-20 12:00:00,2015-06-19 12:00:00,2015-06-20 12:00:00,100.0,0.3
3619,Code,2015-06-19 12:30:00,2015-06-20 23:59:00,2015-06-19 12:30:00,2015-06-20 23:59:00,50.0,0.3
3767,DrawOut,2015-06-27 00:00:00,2015-06-28 23:59:00,2015-06-27 00:00:00,2015-06-28 23:59:00,50.0,0.3
3916,OpenCard,2015-07-01 18:00:00,2015-07-31 23:59:00,2015-07-01 18:00:00,2015-07-31 23:59:00,50.0,0.3
4068,DrawOut,2015-07-04 23:59:00,2015-07-05 23:59:00,2015-07-04 23:59:00,2015-07-05 23:59:00,50.0,0.3
4180,DrawOut,2015-07-11 00:00:00,2015-07-12 23:59:00,2015-07-11 00:00:00,2015-07-12 23:59:00,50.0,0.3
4315,DrawOut,2015-07-18 00:00:00,2015-07-19 23:59:00,2015-07-18 00:00:00,2015-07-19 23:59:00,50.0,0.3
4448,DrawOut,2015-07-25 00:00:00,2015-07-26 23:59:00,2015-07-25 00:00:00,2015-07-26 23:59:00,50.0,0.3
4594,DrawOut,2015-08-01 00:00:00,2015-08-03 23:59:00,2015-08-01 00:00:00,2015-08-03 23:59:00,50.0,0.3
4737,OpenCard,2015-08-04 12:00:00,2015-08-31 23:59:00,2015-08-04 12:00:00,2015-08-31 23:59:00,50.0,0.3
4879,DrawOut,2015-08-08 00:00:00,2015-08-09 23:59:00,2015-08-08 00:00:00,2015-08-09 23:59:00,50.0,0.3
5170,DrawOut,2015-08-20 00:00:00,2015-08-23 23:59:00,2015-08-20 00:00:00,2015-08-23 23:59:00,100.0,0.3
5183,DrawOut,2015-08-24 00:00:00,2015-08-25 00:00:00,2015-08-24 00:00:00,2015-08-25 00:00:00,100.0,0.3
5184,DrawOut,2015-08-25 00:01:00,2015-08-26 00:01:00,2015-08-25 00:01:00,2015-08-26 00:01:00,100.0,0.3
